id,shortName,stem,notstem,courses,ratio,year
1,'stanford',25,6,31,0.806451613,2012
3,'umich',8,7,15,0.533333333,2012
4,'princeton',9,5,14,0.642857143,2012
6,'penn',16,18,34,0.470588235,2012
7,'duke',14,12,26,0.538461538,2012
8,'jhu',16,19,35,0.457142857,2012
9,'gatech',13,6,19,0.684210526,2012
10,'ucsf',12,0,12,1,2012
11,'utoronto',7,3,10,0.7,2012
12,'caltech',5,0,5,1,2012
13,'rice',8,7,15,0.533333333,2012
14,'edinburgh',6,7,13,0.461538462,2012
15,'uw',9,7,16,0.5625,2012
16,'epfl',12,4,16,0.75,2012
17,'illinois',12,2,14,0.857142857,2012
18,'uva',3,8,11,0.272727273,2012
21,'berklee',0,5,5,0,2013
22,'brown',2,2,4,0.5,2013
23,'emory',1,7,8,0.125,2013
24,'huji',3,2,5,0.6,2012
25,'leiden',2,3,5,0.4,2013
26,'london',2,9,11,0.181818182,2012
27,'mssm',5,0,5,1,2012
28,'osu',5,6,11,0.454545455,2015
29,'ubc',1,3,4,0.25,2012
30,'uci',8,3,11,0.727272727,2012
31,'ufl',8,4,12,0.666666667,2012
32,'umd',7,6,13,0.538461538,2012
33,'unimelb',9,2,11,0.818181818,2013
34,'wesleyan',3,6,9,0.333333333,2012
35,'hkust',1,4,5,0.2,2013
36,'pitt',3,2,5,0.6,2012
37,'vanderbilt',3,7,10,0.3,2013
40,'columbia',9,1,10,0.9,2012
45,'cuhk',1,5,6,0.166666667,2013
47,'nus',1,2,3,0.333333333,2014
49,'unige',2,4,6,0.333333333,2013
50,'minnesota',5,7,12,0.416666667,2013
51,'psu',2,6,8,0.25,2013
53,'ucsd',7,1,8,0.875,2013
54,'northwestern',3,5,8,0.375,2013
56,'ucsc',1,2,3,0.333333333,2013
57,'dtu',2,0,2,1,2013
58,'unam',1,3,4,0.25,2013
59,'calarts',1,2,3,0.333333333,2013
60,'rochester',4,4,8,0.5,2013
61,'ie',1,1,2,0.5,2013
62,'tecdemonterrey',5,4,9,0.555555556,2013
63,'ucph',3,5,8,0.375,2014
64,'lmu',6,0,6,1,2013
65,'wisconsin',2,2,4,0.5,2013
66,'ep',5,0,5,1,2013
67,'rutgers',2,1,3,0.666666667,2013
68,'casewestern',2,3,5,0.4,2013
71,'boulder',1,1,2,0.5,2013
73,'worldbank',2,0,2,1,2013
74,'sapienza',0,3,3,0,2013
75,'taiwan',6,6,12,0.5,2013
76,'utokyo',2,1,3,0.666666667,2013
77,'unc',1,5,6,0.166666667,2013
78,'tum',2,0,2,1,2013
79,'curtis',0,3,3,0,2013
80,'uab',1,7,8,0.125,2013
93,'zurich',0,2,2,0,2013
100,'amnh',2,1,3,0.666666667,2013
102,'chicago',3,0,3,1,2013
103,'ntc',1,4,5,0.2,2013
104,'relay',0,2,2,0,2014
105,'mtr',0,3,3,0,2013
106,'cet1886',0,8,8,0,2014
107,'moma',0,2,2,0,2013
108,'exploratorium',1,1,2,0.5,2013
109,'yale',1,3,4,0.25,2014
110,'telaviv',1,2,3,0.333333333,2013
116,'wvu',2,0,2,1,2013
117,'suny',2,2,4,0.5,2013
119,'uhs',2,2,4,0.5,2013
120,'newmexico',2,1,3,0.666666667,2013
121,'ntu',3,0,3,1,2013
123,'usg',0,0,0,0,2013
124,'nebraska',1,0,1,1,2013
126,'cusystem',3,2,5,0.6,2013
127,'uk',1,1,2,0.5,2013
128,'ecp',2,1,3,0.666666667,2014
129,'technion',2,0,2,1,2013
130,'ens',2,1,3,0.666666667,2013
131,'amsterdam',0,2,2,0,2013
146,'ualberta',1,1,2,0.5,2013
147,'manchester',3,1,4,0.75,2013
148,'mcmaster',0,1,1,0,2014
150,'sjtu',5,3,8,0.625,2013
154,'natgeo',0,2,2,0,2013
155,'unsw',2,3,5,0.4,2013
156,'uwa',1,0,1,1,2014
157,'bocconi',1,1,2,0.5,2013
159,'unil',0,3,3,0,2013
160,'hse',11,2,13,0.846153846,2013
161,'hec',1,1,2,0.5,2014
163,'pku',14,8,22,0.636363636,2013
172,'iese',2,0,2,1,2013
175,'cbs',2,0,2,1,2013
176,'mipt',4,0,4,1,2013
177,'tue',1,1,2,0.5,2013
178,'kaist',2,2,4,0.5,2013
179,'spbu',0,0,0,0,2013
182,'koc',2,0,2,1,2013
188,'fudan',0,1,1,0,2013
199,'lunduniversity',3,0,3,1,2014
208,'unicamp',1,1,2,0.5,2014
221,'usp',4,0,4,1,2014
223,'essec',0,1,1,0,2014
224,'lemann',0,1,1,0,2014
